MEX,1966,1.30258047580719
MEX,1967,1.306867003440857
MEX,1968,1.3471068143844604
MEX,1969,1.331274151802063
MEX,1970,1.3517636060714722
MEX,1971,1.332947015762329
MEX,1972,1.3607896566390991
MEX,1973,1.3837183713912964
MEX,1974,1.3739711046218872
MEX,1975,1.3531204462051392
MEX,1976,1.3270817995071411
MEX,1977,1.3015443086624146
MEX,1978,1.325737714767456
MEX,1979,1.346103310585022
MEX,1980,1.3495864868164062
MEX,1981,1.3662800788879397
MEX,1982,1.2887375354766846
MEX,1983,1.2136229276657104
MEX,1984,1.2130910158157349
MEX,1985,1.1946879625320437
MEX,1986,1.1141175031661987
MEX,1987,1.099750518798828
MEX,1988,1.0755729675292969
MEX,1989,1.0845842361450195
MEX,1990,1.0988974571228027
MEX,1991,1.1010850667953491
MEX,1992,1.0961675643920898
MEX,1993,1.0781174898147583
MEX,1994,1.0766171216964722
MEX,1995,1.0050045251846311
MEX,1996,1.023274302482605
MEX,1997,1.0445234775543213
MEX,1998,1.0514060258865356
MEX,1999,1.0501482486724854
MEX,2000,1.0727753639221191
MEX,2001,1.0367354154586792
MEX,2002,1.0050327777862549
MEX,2003,0.9912721514701844
MEX,2004,0.9949626922607422
MEX,2005,1.0
MEX,2006,1.01175057888031
MEX,2007,1.0136733055114746
MEX,2008,0.9915478229522704
MEX,2009,0.9158785343170166
MEX,2010,0.941603660583496
MEX,2011,0.955765664577484
